mean_length,genomes,chroms
1319.7058823529412,17,1
534.9285714285714,28,1
1326.0,15,1
504.3333333333333,8,1
616.0,8,1
825.0,2,1
644.0,10,1
576.0,2,1
543.0,3,1
2573.0,3,1
923.3333333333334,3,1
826.8,5,1
1581.4761904761904,19,1
1381.48,23,1
965.3076923076923,23,1
527.8461538461538,13,1
777.0,6,1
1860.1052631578948,19,1
657.625,8,1
581.0,3,1
650.0,6,1
974.0,2,1
821.75,4,1
821.1111111111111,9,1
1263.5,6,1
605.25,4,1
1259.75,4,1
1346.2857142857142,7,1
1244.25,4,1
861.625,8,1
541.75,4,1
627.0,12,1
915.2,5,1
595.0,4,1
688.25,4,1
868.0,4,1
3026.75,4,1
675.25,4,1
609.0,11,1
657.0,4,1
3591.75,4,1
3405.5,4,1
2694.0,3,1
591.75,8,1
1565.5,4,1
531.0,4,1
633.3333333333334,6,1
523.6,10,1
2279.125,5,1
797.75,8,1
874.5,4,1
6300.0,4,1
601.0,4,1
555.1428571428571,7,1
617.0,10,1
1748.25,4,1
582.0,8,1
561.6666666666666,18,1
2246.764705882353,17,1
2442.0555555555557,18,1
1821.7,9,1
636.0,9,1
972.8333333333334,11,1
834.1666666666666,11,1
1186.375,7,1
537.625,8,1
3095.0,7,1
1474.3,10,1
4247.444444444444,9,1
616.7692307692307,13,1
891.0416666666666,20,1
828.4444444444445,9,1
570.8181818181819,9,1
666.1538461538462,11,1
2217.75,10,1
1665.6363636363637,9,1
633.0,2,1
1078.75,12,1
552.0,5,1
1864.1875,10,1
1949.125,10,1
512.6470588235294,10,1
2369.1176470588234,10,1
1080.3529411764705,10,1
3079.222222222222,10,1
1385.0,10,1
571.0,6,1
799.3333333333334,3,1
550.6666666666666,2,1
1124.75,4,1
802.0,8,1
1606.5,2,1
674.5714285714286,8,1
782.0,8,1
1140.7142857142858,7,1
907.2727272727273,10,1
4523.5,5,1
1006.1666666666666,6,1
813.4545454545455,11,1
651.0,4,1
1096.0,4,1
528.8,5,1
795.2,10,1
2582.0,4,1
670.0,4,1
544.0,5,1
1286.0,4,1
659.8,5,1
558.0,4,1
522.0,4,1
1763.0,4,1
1215.0,5,1
2108.0,5,1
3032.0,4,1
991.0,4,1
507.3333333333333,3,1
871.0,6,1
552.5,2,1
1212.0,3,1
1178.25,4,1
1203.5,2,1
2372.0,2,1
1274.0,2,1
556.0,2,1
538.0,2,1
703.9230769230769,8,1
520.0,5,1
616.6,5,1
539.0,3,1
526.0,3,1
1005.0,3,1
662.0,2,1
716.0,3,1
622.0833333333334,3,1
572.6,10,1
1073.5,2,1
2742.5,2,1
4860.5,2,1
863.0,2,1
577.0,2,1
1222.6666666666667,3,1
864.0,5,1
887.0,2,1
1040.6666666666667,4,1
566.5,2,1
865.0,2,1
6371.75,4,1
866.6,4,1
550.25,4,1
1572.6,4,1
543.3333333333334,3,1
1250.2096774193549,5,1
1362.0,4,1
550.8,5,1
656.0,4,1
1115.0,4,1
555.0,4,1
804.6,7,1
535.4,6,1
648.7692307692307,5,1
572.45,5,1
580.625,8,1
523.4,5,1
1127.6666666666667,4,1
1758.3,4,1
656.4444444444445,4,1
1261.8,4,1
515.4,4,1
649.4,4,1
714.7,5,1
577.0,4,1
519.0,5,1
771.5,4,1
865.5,4,1
1564.0,11,1
930.0,4,1
720.0,4,1
535.8,5,1
721.0,4,1
2229.0,4,1
762.0,4,1
1101.0,4,1
1040.0,4,1
828.0,4,1
641.0,4,1
1054.0,4,1
629.5,4,1
1287.6,5,1
689.0,4,1
1115.6,5,1
1282.0,4,1
1385.5,4,1
574.0,4,1
740.0,4,1
507.5,6,1
807.6666666666666,6,1
550.6666666666666,6,1
759.0,4,1
1032.5,4,1
576.5,4,1
795.0,4,1
2150.0,4,1
